STT,CÂU HỎI,CÂU TRẢ LỜI
,,"Điện thoại: 028 3835 2020, 028.38391077 - Ext: 181, 182, 183, 184."
,,Website: http://phongsdh.hcmue.edu.vn
,,Email: phongsdh@hcmue.edu.vn
,,
17,Phòng Tổ chức - Hành chính,"- Tham mưu và giúp Hiệu trưởng thực hiện công tác tổ chức, cán bộ; bảo vệ chính trị nội bộ; công tác hành chính - tổng hợp, văn thư - lưu trữ và bảo vệ bí mật nhà nước; công tác pháp chế, thi đua khen thưởng, kỷ luật theo quy định hiện hành."
,,"- Giúp Hiệu trưởng trong việc đảm bảo an ninh, trật tự, an toàn tuyệt đối về người và tài sản trong Trường."
,,"Địa chỉ: A.104, A.105, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,,"Điện thoại: 028 3835 2020 - Ext: 179, 213, 148"
,,Website: http://phongtchc.hcmue.edu.vn
,,Email: phongtchc@hcmue.edu.vn
18,Phòng Thanh tra Đào tạo,"Địa chỉ: A.209, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,,Điện thoại: 028 3835 2020 - Ext: 160
,,Website: http://phongttdt.hcmue.edu.vn
,,Email: phongthanhtra@hcmue.edu.vn
,,
22,Trường Trung học Thực hành - ĐHSP,"Văn phòng Trường: 280 An Dương Vương, Phường 4, Quận 5"
,,Điện thoại : 028 3835 2020 - Ext: 116
,,Email: truongthth@hcmue.edu.vn
,,Facebook: Trường Trung học Thực hành Đại học Sư phạm TP.HCM
,,Youtube: TRƯỜNG TRUNG HỌC THỰC HÀNH ĐHSP TPHCM
23,Nhà xuất bản ĐHSP Thành phố Hồ Chí Minh,"Địa chỉ: 280 An Dương Vương, P.4, Q.5, TP.HCM"
,,Điện thoại: (028) 38301303; (028) 35264805
,,Tổng biên tập: Lê Thanh Hà
,,Email: nxb@hcmue.edu.vn
,,"Ký túc xá có chức năng tham mưu giúp Hiệu trưởng trong công tác xét duyệt, tiếp nhận và tổ chức quản lí – phục vụ sinh viên nội trú và một số công tác khác của trường ở Ký túc xá."
24,Ký túc xá,"Địa chỉ: 351A Lạc Long Quân, Phường 5, Quận 11, TP.HCM"
,,Điện thoại: 028 3865 0758
,,Website: http://kytucxa.hcmue.edu.vn
,,Email: ktx@hcmue.edu.vn
25,Viện Nghiên cứu Giáo dục,
26,Trung tâm Phát triển kỹ năng Sư phạm,
27,Trung tâm Tin học,
28,Trung tâm Ngoại ngữ,
29,Đoàn thanh niên và Hội sinh viên Trường,
30,Trung tâm Hỗ trợ sinh viên và Phát triển khởi nghiệp,
31,Các biểu mẫu , https://bit.ly/bieumauSV
32,Cho mình hỏi trường mình bao giờ mở khoá đào tạo nghiệp vụ sư phạm cho giáo viên thpt vậy ạ,"Hằng năm vào tháng 3 bạn theo dõi ở web trường và đây là thông báo năm trước : https://hcmue.edu.vn/.../2091-chieu-sinh-khoa-b-i-du-ng... , trường sẽ mở khi đủ số lượng là 40 học viên."
33,"Thứ nhất, em ở Nghệ An nếu đk học ngôn ngữ trung ở trường thì có cần đk gì không ạ(Kiểu như thứ tự nv)",_ Thứ 1: Trường tuyển sinh Toàn quốc. Trường đào tạo.... SP tiếng Trung và NN Trung
34,"Thứ hai, ngành này thì sẽ học những gì vậy ạ?",_ Thứ 2: Lên Google gõ từ khóa Chương trình đào tạo ngành...
35,"Thứ ba, học phí của ngành này sẽ dao động như nào ạ?",_ Thứ 3: Lên Google gõ từ khoá Học phí trường .... Mỗi năm trường đều tăng HP.
36,Em chào anh chị. Năm nay em lớp 12 cho hỏi nếu muốn vô ngành sư phạm tiểu học trg mik có nhận học bạ để xét tuyển ko ạ.,có nha bạn
37,Em là K49. Anh chị cho em hỏi trường mình có quy định về ảnh hưởng của ĐRL đến xếp loại tốt nghiệp không ạ? Ví dụ em muốn tốt nghiệp loại giỏi nhưng nếu ĐRL không cao thì có bị hạ bậc không ạ?,"thường thì không ai quan tâm nhìu về đrl. Ai lo học bổng thì mới cần cao thoi, chứ bình thường đi sơ sơ sự kiện cũng có điểm khá rồi"
38,"Xin chào mọi người, em sinh năm 2004 đã tốt nghiệp THPT năm 2022 nhưng không theo học đại học ngay sau đó. Bây giờ em muốn đăng ký học ngành Giáo dục Mầm non tại trường thì phải làm sao ạ? Ra Tết Nguyên Đán trường có tuyển sinh không, và có xét tuyển bằng học bạ hay điểm tốt nghiệp THPT không? Mong mọi người trả lời giúp em ạ, em cảm ơn.","Phải thi lại rồi á bạn. Chứ trc giờ trường không xét tuyển bổ sung ngay sau Tết, chỉ có đợt bổ sung vào khoảng tháng 9 10 cũng như trường ko lấy điểm xét tuyển THPT, học bạ những năm cũ. Thi năm nào thì lấy năm ấy á"
39,"Cho em hỏi là vắng thi k lí do thì sao ạ, em ngủ quên mất h thi.",Nhận 0đ và học lại nha em.
40,Nhầm lịch thi từ sáng thành chiều còn cách nào cứu nổi không ạ?,"Hết cứu nha em, đóng tiền học lại nha."
41,"Dạ maas anh chị ơi em hỏi là cái hình trên thẻ sinh viên của em xấu quá, em có thể gắn hình khác đè lên hình đó được hong ạ",Không nên thay đổi vì thẻ sinh viên dùng để nhận dạng trong các kì thi nên hạn chế các trường hợp dán đè hình ảnh lên nha.
42,Dạ cho em hỏi trường mình có được phép nhuộm tóc màu sáng hog ạ. Em xin cảm ơn ạ, Thoải mái nha e. Đầu c từ khi bước chân vào đh tới giờ chưa ngày nào nó ở màu nguyên thủy hết nè
43,Em chào mn. Chuyện là em đăng kí 2 môn mà cùng 1 buổi lại chuyển 2 cơ sở. Em đã đi thử mà thấy thời gian di chuyển rủi ro quá. Giờ em viết đơn lên xin hủy 1 học phần. Mn có ai đã từng gửi mail cho phòng đào tạo về vấn đề này rồi thì cho em xin kinh nghiệm với ạ. Em cảm ơn rấc nhìuuuu ,Em thử xin phép giáo viên cho học ca khác của cùng cái môn đó chưa? Đa số thầy cô dễ tính sẽ cho phép nhé.
44,"Cho em hỏi là một tín chỉ trường mình bnhieu tiền ạ, em thấy mình sắp phải học lại rồi",không biết năm nay với năm ngoái trường thay đổi ra sao.
,,Học phí năm 2021 - 2022 là 290.000₫/tín chỉ đối với các học phần Khoa học Xã hội và Nhân văn.
,,"365.000₫/tín chỉ đối với các học phần Khoa học tự nhiên, Giáo dục Quốc Phòng và Giáo dục Thể Chất."
,,Môn Giáo dục Đời Sống thì theo quy định riêng của Tổ Nữ Công (đóng tiền sau khi đăng ký - sẽ có thông báo)
45,Cho mình hỏi các cách kiếm điểm rèn luyện. Mình xin cám ơn,"Bạn chịu khó tham gia các hoạt động của khoa và trường nha. Ngoài ra thì có thể tham gia thi và đạt giải trong các cuộc thi học thuật, văn nghệ của khoa, của trường. Bên cạnh đó, mình thấy page phòng CTCT của trường mình hay có những khảo sát dành cho sinh viên làm, bạn bỏ chút thời gian ra làm rồi lưu lại minh chứng nè. Làm ban cán sự, tham gia clb cũng là cách để đạt được thêm nhiều điểm rèn luyện nữa đó. Trên đây là một số cách mình dùng để kiếm đrl, chúc bạn đạt được 90+ đrl nhaaa"
46,"Mn ơi cho mình hỏi là mình vừa làm mất thẻ sinh viên, giờ làm sao để có thể được cấp lại ạ?",bạn liên hệ trực tiếp phòng CTCT-HSSV A.110 gặp cô Ngọc Dung để được hướng đãn làm lại nha. Hoặc em vào đường link https://ctsv.hcmue.edu.vn/ để đăng kí làm lại thẻ sv và lên phòng CTCT-HSSV A.110 gặp cô Ngọc Dung để đóng phí làm lại thẻ.
47,"Nếu đã qua hạn chót được lên web huỷ học phần thì mình làm cách nào để được huỷ vậy ạ? (sẽ liên hệ bộ phần nào, cách xin huỷ ra sao,…)  ",bạn liên hệ phòng đào tạo nhé
48,Mng ơi cho mình hỏi mình bị bệnh nhập viện trùng ngày thi cuối kì nhưng có giấy nhập viện của bệnh viện có được hoãn thi lại hong ạ ,"Em báo ngay cho giảng viên phụ trách môn hoặc trưởng khoa (nếu là môn chuyên ngành), thầy cô sẽ báo với phòng khảo thí và em phải mang đầy đủ minh chứng (giấy nhập viện, xuất viện) cùng đơn xin hoãn thi đến phòng khảo thí làm thủ tục nhé."
49,Mn cho em hỏi cách tính điểm trung bình với ạ.,"Điểm trung bình chung học kỳ, năm học và điểm trung bình chung tích lũy được tính theo công thức sau và được làm tròn đến 2 chữ số thập phân:"
,,Trong đó:
,,A= i=1nai 🇽 nii=1nni  
,,"A là điểm trung bình chung học kỳ, năm học hoặc điểm trung bình chung tích lũy;"
,,ai là điểm của học phần thứ i; 
,,ni là số tín chỉ của học phần thứ i; 
,,n là tổng số học phần.
50,"Anh chị ơi, cho em hỏi là nếu mình trượt môn hay bị cảnh cáo học tập thì có bị gọi hay nhắn tin về cho phụ huynh không ạ. Em cảm ơn ạ. ","không nha em, cố gắng lên."
51,"Chào mng, mình muốn hỏi là thẻ xe trường bị mất phải trả 50k vậy sau khi tìm và trả lại thẻ thì mình có được hoàn lại 50k hong ạ.  ","thẻ xe mất đền 50k là đúng. Sau khi tìm lại thẻ đem lại đưa lấy lại 50k nhé b. Trường hợp nhặt đc thẻ của người khác đem ra bảo là của mình thì ko đc , cái này quẹt trên máy hiện ra số xe b đó, đúng họ sẽ trả lại nhé."
52,Dạ cho em hỏi là khoản năm mấy mình đi qs ạ . E K49 nên hơi bỡ ngỡ với hình như trường mình đồ qs cũng khác với mấy trg khác ,"thường có hai đợt đi qs là sau tết với hè nè, cứ đky là được đi hoi em"
53,"Dạ em chào anh chị, anh chị nào có kinh nghiệm xin bảng điểm giúp em với ạ, em muốn xin bảng điểm thì phải liên hệ với phòng ban nào ạ.","lên phòng khảo thí A.206 điền phiếu rồi đưa 5k, sau đó nhận lại phiếu và lấy vào 1 hoặc 2 hôm sau"
54,Anh chị ơi cho em hỏi là mình lên thư viện có cần mang theo thẻ sv hay gì ko ạ?,"Cần để quét á, ko có lên ko đc đâu"
,,
55,Cho e hỏi theo ngành sư phạm tiểu học thì có cần đạt giải hsg môn j của tỉnh k ạ,"Khi nào em là hsinh chuyên thì giải hsg giỏi tỉnh có thể dùng để xét học bạ, còn em thi thpt hay đgnlcb thì không cần đâu nè"
56,"Dạ cho em hỏi em là hs trường chuyên và có giải tỉnh ạ, em có ielts nữa ạ, không biết em đủ tiêu chuẩn xét vào trường được không ạ",xét ngon luôn chứ còn gì nữa em ơi
57,"Dạ anh,chị cho em hỏi hphi trường mình khi nào mới đóng ạ",đóng trước khi thi kết thúc học phần của hk đó là được nha
58,Anh chị cho em hỏi thi xong khi nào có điểm ạ huhuuhuhuhuh,Tầm 1 tháng á b
59,Nếu sv mới vào học ngành hóa học thì dùng những sách nào thế ac cho e tham khảo,"Sách thì đầu năm vô giảng viên sẽ cho biết e học những sách nào, mà đa phần mua sách về để tham khảo thêm chứ học trong sách ko nhiều em nhé."
60,Em xin phép được hỏi là khi mình rớt môn thì mình sẽ đăng ký học môn đó lại như thế nào vậy ạ? Em cảm ơn ạ.,mình đăng ký học lại môn đó theo lịch mở môn học của trường nha. vào ngày đkhp thì mình chờ đến lúc đk học trả nợ để được học lại môn đó nha.
61,anh chị ơi cho e hỏi thi ngành mầm non có khó không vs nếu thi tốt nghiệp thì mỗi môn bn điểm thì đậu ạ,mầm non thi toán hoặc văn + năng khiếu ấy
62,Dạ anh chị cho em hỏi mình đóng học phí ntn vậy ạ…có đóng trực tiếp đc hong ạ,Đóng trực tiếp đc á
63,Dạ cho em hỏi là trường mình có cho gửi xe đạp không vậy ạ?,có cho gửi nha em.
64,Mng cho em hỏi trên trang onl đăng kí học phần mình có đăng kí trùng lịch được kh ạ? Em cảm ơn ạ,khi đăng ký trùng lịch sẽ có thông báo yêu cầu mình đổi lớp khác nha.
6,Cho em hỏi là trường mình hiện tại đã cấp giấy cn sinh viên chưa ạ? Em muốn xin giấy chứng nhận để vay vốn sinh viên thì mình xin cấp ở đâu ạ? Em cảm ơn,"Em lên Phòng CTCT và Học sinh, sinh viên Trường Đại học Sư phạm TP.HCM (A.110) để quét mã QR làm giấy chứng nhận sinh viên nha, sau 2 ngày (trừ thứ 7 và Chủ Nhật) là em có thể quay lại phòng lấy rồi nha."
66,Cho em hỏi anh/ chị có ai nhà ở Thủ Đức mà học ở HCMUE cho em xin ít kinh nghiệm đi xe bus với ạ. Em ở tỉnh lên ở chung với nhà người thân nên em tính đi xe bus cho rẻ với an toàn ạ.,Bé tải Busmap về nè.
,Em cảm ơn <33,Rồi tìm tuyến xe hợp lý để đi. Thường là đi 2 3 chuyến xe mới tới trường đc á.
67,"Chào anh chị, em là K49, em thắc mắc không biết ảnh thẻ sinh viên là chụp tại trường hay là úp file lên.  Mong anh chị giải đáp.  Em cảm ơn.",Trường dùng hình thi tốt nghiệp làm ảnh thẻ đó em.
68,"Dạ em là k48 hiện tại em muốn hủy học phần đã đăng ký nhưng trên trang đăng ký lại bị lỗi không hủy được, giờ em muốn hủy đăng ký thì cần liên hệ với ai ạ, em cảm ơn ",Liên hệ phòng đào tạo nha bạn.
69,"yaa là tân sinh viên em có một chút thắc mắc về việc chạy cơ sở ạ. A/C có phải thường xuyên chạy đi chạy lại giữa 2 cơ sở thường xuyên hong ạ, với lại năm nhất thì sẽ học ở cơ sở nào là chủ yếu vậy ạ?","Năm nhất thì mình có thể chạy luân phiên giữa 3 cơ sở luôn nha em, chủ yếu sẽ là cơ sở Lê Văn Sỹ nhiều vì đa phần là học các môn học phần chung. Ngoài ra mình còn cơ sở ngoài trường để học thể dục nữa là công viên Lê Thị Riêng nha. Đến năm 2 sẽ học ở cơ sở chính nhiều hơn."
70,Hi mấy anh chị em là tân sinh viên của trường em có thắc mắc là trường mình có 2 cơ sở thì năm 1 sẽ học ở cơ sở nào vậy ạ?  ,"Năm nhất thì mình có thể chạy luân phiên giữa 3 cơ sở luôn nha em, chủ yếu sẽ là cơ sở Lê Văn Sỹ nhiều vì đa phần là học các môn học phần chung. Ngoài ra mình còn cơ sở ngoài trường để học thể dục nữa là công viên Lê Thị Riêng nha. Đến năm 2 sẽ học ở cơ sở chính nhiều hơn."
71,Sinh viên sư phạm được nhuộm tóc không ạ này em hỏi thật tại em nhuộm cũng lâu lấm rồi 1 phần em làm để phục vụ công việc cá nhân nữa ạ. ,Trường mình không có ràng buộc về điều này. Nhưng nhuộm màu đừng chói quá em nha.
72,Dạ rớt môn học lại thì có được chọn giáo viên không ạ. E cảm ơn mn,Trước lúc đăng kí trường sẽ có thời khóa biểu các môn em tham khảo trước và lên lịch sẵn là sẽ được nha.
73,"Chào anh chị ạ, anh chị cho em hỏi thủ tục đăng kí vay vốn sinh viên trường mình như thế nào. Vì  gia đình em hiện tại đang rất khó khăn nên không đủ khả năng chi trả học phí cho em ạ. Em xin cảm ơn ","em có thể làm giấy xác nhận sinh viên rồi đem ra ngân hàng chính sách xã hội để vay vốn, có gợi ý như vậy"
74,"Hôm đkhp xong em có đổi mk tài khoản online.hcmue, hôm nay em vào đăng nhập thì ko đc nó cứ để là mật mã sai trong khi em nhập giống hệt hôm bữa. Em hoang mang quá  có khi nào em bị hack rồi ko có anh chị nào từng bị trường hợp tương tự ko ạ ", Bạn mail cho phòng cntt xin cấp lại pass nha
75,"Cho mình hỏi, giấy báo nhập học của trường chỉ có 1 bản thôi phải không ạ? bản đó cũng đã nộp cho trường rồi phải không ạ?",đúng rùi
76,Thi TTHCM trắc nghiệm hay tự luận v mn ,tự luận đề mở nha bạn.
77,Dạ mấy ac ơii cho e hỏi là hình như trường mình có lắp máy lạnh mà e nghe là hình như ko đc bật đúng ko mấy ac ạ  ,Chính sách tiết kiệm điện đó bạn ơi.
78,Cho em hỏi là mất thẻ sv thì nên liên lạc ở chỗ nào để được cấp lại ạ?,Em liên hệ trực tiếp phòng CTCT-HSSV A.110 gặp cô Ngọc Dung để được hướng đãn làm lại nha. Hoặc em vào đường link https://ctsv.hcmue.edu.vn/ để đăng kí làm lại thẻ sv và lên phòng CTCT-HSSV A.110 gặp cô Ngọc Dung để đóng phí làm lại thẻ.
79,Cho e hỏi kì thi đgnlcb là sao vậy ạ?,Là thi riêng môn trong tổ hợp xét tuyển kết hợp với điểm học bạ
80,ac cho em hỏi là em có thể vừa sử dụng phương thức xét học bạ và thi THPT quốc gia để vào sư phạm Toán( hoặc sư phạm Tin) không ạ?,hoàn toàn được em nhéee
81,"Cho em hỏi cách tính điểm tích luỹ thế nào ạ, anh chị giúp em với, em cảm ơn. ","Điểm trung bình chung học kỳ, năm học và điểm trung bình chung tích lũy được tính theo công thức sau và được làm tròn đến 2 chữ số thập phân:"
,,Trong đó:
,,A= i=1nai 🇽 nii=1nni  
,,"A là điểm trung bình chung học kỳ, năm học hoặc điểm trung bình chung tích lũy;"
,,ai là điểm của học phần thứ i; 
,,ni là số tín chỉ của học phần thứ i; 
,,n là tổng số học phần.
82,"Em là sinh viên trường khác, có nhu cầu học về chứng chỉ giáo dục thì có thể đăng kí ở đâu ạ, chương trình dạy này có dạy buổi tối hay online từ xa không ạ? Em cảm ơn ạ!","https://hcmue.edu.vn/vi/dao-tao/dai-hoc/tin-tuc-thong-bao. Dạ anh/chị vào web này xem nhaa, tin đầu tiên đăng cách đây khoảng 1 tháng á c ơi, đừng thanh toán hay đăng kí qua bất kì ai nhaa vì hiện nay nhiều đối tượng lợi dụng chuyện này lừa đảo lắm ạ"
83,"Thi sp Địa , Sử, Văn thì thi đgnl môn nào ạ ! E cám ơn mn nhìu ạ",Môn Văn nha
84,"Mn cho em hỏi xíu, em có băngf cử nhân điều dưỡng, giờ muốn học vb2 sp tiểu học có được ko ạ.",Dc nhé b
85,"dạ em có đăng ký tham gia đgnl của đại học sư phạm nhưng mà em quên mật khẩu để đăng nhập vào tài khoản, mng cho em hỏi làm cách nào để lấy lại mật khẩu vậy ạ? Em xin cảm ơn",Mật khẩu là ngày tháng năm sinh của bà á=))
86,Dạ cho em hỏi điểm học bạ xét sp Toán của em tầm 27+ ( em là hs chuyên toán của trường chuyên) thì có khả nặng đậu sp Toán ko ạ,Không ổn lắm em ơi. Khoảng 29+ nha
,,Năm ngoái hơn 29 á em ơi
87,Cho em hỏi thi sư phạm âm nhạc ở trường thi như nào ạ? Và thi năng khiếu phần nhạc cụ bắt buộc là piano hoặc organ hay là bất kì nhạc cụ nào cũng được ạ???,Trường đâu có ngành sư phạm âm nhạc đâu em
88,"Cho em hỏi nếu em vừa muốn xét học bạ, vừa muốn xét kết hợp học bạ và đgnl thì em phải 1 hay 2 bộ hồ sơ đính kèm học bạ vậy ạ",2 hình thức đó đều xét onl hết nha em
89,Em muốn thi vào trường mình chuyên ngành SP Ngữ Văn cấp 3 thì cần những điều kiện gì hoặc ntn thì mới đậu ạ?,"Nếu em xét hba hoặc thi dgnlcb thì yêu cầu học lực CẢ năm 12 giỏi, kết hợp với điểm tb của 6 môn, còn thi thptqg thì không cần điều kiện"
90,Anh chị ơi cho em hỏi là em thi năng khiếu đhsp vậy điểm năng khiếu em có xét được thêm vào trường khác kh ạ hay chỉ tính riêng là trường mình thui .Em cảm ơn nhiều ạ,Mỗi trường khác nhau mà
91,Trường sắp có cơ sở ở long an là đại học hay cao đẳng vậy ạ,Là Đại học sư phạm Thành phố Hồ Chí Minh phân hiệu Long An nha
92,Dạ ac sư phạm Văn cho e hỏi là nếu e ko kí nhận hỗ trợ học phí và trợ cấp thì e sẽ đóng tiền bao nhiêu cho 1 năm ạ,
93,Mọi người cho em hiểu chỉ tiêu của trường mình các năm gần đây là bao nhiêu sinh viêm và khi nào có thông báo chỉ tiêu năm nay . Em cảm ơn,Gửi bạn thông tin tham khảo chỉ tiêu năm 2023 nhen http://hcmup.edu.vn/index.php?option=com_content...
,,Còn năm nay thì bạn cứ theo dõi fanpage https://www.facebook.com/HCMUE.VN và website http://tuyensinh.hcmue.edu.vn/ là những kênh thông tin chính thống để cập nhật thông tin mới nhất khi Trường ra thông báo nhen
94,Cho e hỏi  trường  mình  giờ có khóa học liên thông  đại học sư phạm tiểu học nào ko ạ,
95,Nếu em xét học bạ 6 học kì thì có cần điều kiện là điểm thi tốt nghiệp phải trên 8 không ạ,Xét tuyển sử dụng kết quả học tập THPT (phương thức này áp dụng với tất cả các ngành trừ Giáo dục Mầm non và Giáo dục Thể chất)
,,Phương thức xét tuyển này chỉ áp dụng đối với thí sinh thi tốt nghiệp 2023 đồng thời phải thỏa một trong hai điều kiện sau:
,,có học lực lớp 12 xếp loại giỏi
,,Có điểm xét tốt nghiệp THPT từ 8.0 trở lên
,,Đối với Giáo dục THPT tính theo công thức:
,,ĐXTN= Tổng điểm 4 bài thi + tổng điểm khuyến khích ( nếu có)4🇽7+Điểm TB năm 12🇽310 + Điểm ưu tiên (nếu có) 
96,Dạ mọi người ơi cho em hỏi cách tính điểm xếp loại bằng tốt nghiệp đại học với ạ?? Mình tính theo thanh điểm 4 thôi đúng ko ạ? ,"Điểm trung bình chung học kỳ và điểm trung bình chung tích lũy được sử dụng để xét cảnh báo học vụ, buộc thôi học, xếp hạng học lực sinh viên và xếp hạng tốt nghiệp. Mình tính theo thang điểm 4 để xếp loại nha."
97,"Anh chị cho em hỏi là xét học bạ có mấy phương thức vậy ạ, em nghe nói còn có phương thức xét học bạ kết hợp với đgnl, em tưởng chỉ xét học bạ thôi chứ ạ","Có xét HB không, có xét kết hợp , bạn nên xét theo nhiều pt để gia tăng cơ hội trúng tuyển nhé"
,,
98,không biết trường mình còn chấp nhận bằng toeic để xét nn2 tốt nghiệp không ạ ??? em cảm ơn,Có bạn nhưng mà toeic 4 kĩ năng á
99,"Xin chào! Mn cho mình hỏi là con mình dk thi đgnl cb của đại học sư phạm - vừa dk thi toán , vừa dk thi vật lý có được không?","Dạ được ạ, đăng ký thi bao nhiêu môn cũng được hết ạ"
100,bạn ơi cho mình hỏi là nếu thi 2 môn vậy có dc dùng điểm của cả 2 để xét 2 ngành kh ạ? hay chỉ dc dùng điểm của 1 môn cao nhất thôi ạ?,"được bạn ơi, mỗi môn bạn xét mỗi nguyện vọng riêng hết nha"
101,Cho e hỏi mình xem kết quả đánh giá NL NN đầu vào ở đâu v ạ? Với học tiếng anh ở trg ok ko? Mình có nên học ở trg sau đó đi thi chứng chỉ bên ngoài ko ạ? Hay nên học bên ngoài luôn?,Không biết giờ trường còn bắt buộc học học phần ngoại ngữ ở trường không nhưng với một người từng học 4 học phần TA ở trường như chị thì chị khuyên bé nên học ở ngoài rồi nộp chứng chỉ luôn nha. Tại vì không học liên tiếp á dễ bị quên kiến thức lắm với chị thấy chị không tiếp thu được gì.
102,ac cho em hỏi trường mình nếu xét điểm thi đgnl thì lấy mỗi đợt 1 hay đợt nào cũng được ạ. em cảm ơn,"Đợt nào cx đc thì phải, thi 2 lần, lần nào điểm cao hơn thì xét. Ez"
103,"Dạ e chào mng ạ, mng cho e hỏi môn toán của kì thi dgnlcb ở tphcm đã mở đăng ký chưa vậy ạ. Tại e thấy trang đăng kí đã mở mà ko đăng kí đc môn toán",Có thể là đã hết slot r á em
